Business ID,Business Name,Category,LFA Member,Description Score,Keywords Score,Products Score,Confidence Score,Overall Score,Grade,Issues Count,Top Issues
4b2f2b29-fdf1-455e-8d8a-5e2a433cad98,"Phoenix Local Bakery",food_dining,Yes,100.0,100.0,80.0,95.0,95.0,A+,1,"Products/services lack detail"
d73f3396-c05a-4ba3-bc03-b758903ee128,"Scottsdale Web Design Studio",professional_services,Yes,90.0,100.0,80.0,60.0,84.0,A,2,"Description lacks specific details or credentials; Products/services lack detail"
0578c355-5e43-472a-808c-25a5e543cd09,"Tempe Coffee Roasters",food_dining,Yes,100.0,100.0,80.0,80.0,92.0,A+,1,"Products/services lack detail"
bbe44d37-b572-4231-b7c0-a7550f40d093,"Mesa Fitness Center",health_wellness,No,80.0,100.0,80.0,80.0,84.0,A,3,"Description needs more sentences for readability; Description lacks specific details or credentials; Products/services lack detail"
d1a21a54-6127-4854-a0cd-32ef0cc21f07,"Tucson Art Gallery",arts_entertainment,Yes,90.0,100.0,80.0,60.0,84.0,A,2,"Description lacks specific details or credentials; Products/services lack detail"
301a1b92-5ac5-453f-bc6c-1836315a305d,"Chandler Auto Repair",automotive,No,80.0,100.0,80.0,80.0,84.0,A,3,"Description needs more sentences for readability; Description lacks specific details or credentials; Products/services lack detail"
b34f022f-c108-41cd-a92f-a9d2378f9ece,"Glendale Pet Grooming",other,Yes,90.0,100.0,80.0,60.0,84.0,A,2,"Description lacks specific details or credentials; Products/services lack detail"
c882c5c9-2d73-4e1c-ae24-757097bbc865,"Gilbert Photography Studio",nonprofit_community,Yes,90.0,100.0,80.0,60.0,84.0,A,2,"Description lacks specific details or credentials; Products/services lack detail"
1b58166c-8c68-4186-92bf-ab328f43237d,"Peoria Plumbing Services",home_services,No,80.0,100.0,80.0,95.0,87.0,A,3,"Description needs more sentences for readability; Description lacks specific details or credentials; Products/services lack detail"
7099ec2a-d0e1-4327-8b1f-93a40a376052,"Flagstaff Mountain Gear",other,Yes,90.0,100.0,80.0,60.0,84.0,A,2,"Description lacks specific details or credentials; Products/services lack detail"
9cdc58c4-ba7f-42b6-a627-3922071c7d70,"Sedona Red Rock Cafe",food_dining,Yes,90.0,100.0,80.0,70.0,86.0,A,2,"Description lacks specific details or credentials; Products/services lack detail"
683d5671-3d2c-4482-ba58-a4fc80426bc4,"Phoenix Thai Kitchen",other,No,80.0,100.0,80.0,60.0,80.0,A,3,"Description needs more sentences for readability; Description lacks specific details or credentials; Products/services lack detail"
51459bd7-4701-41de-849b-4b0daf8b7122,"Tucson Taco Truck",other,Yes,90.0,100.0,80.0,60.0,84.0,A,2,"Description lacks specific details or credentials; Products/services lack detail"
